Position,Hangul,IPA_Pronunciation,Word_Type,TOPIK_Level,Definition,Example_Sentence,Example_Sentence_IPA,Example_Sentence_Translation,Usage_Hint,Frequency,Frequency_Number,Verified,Quality_Score,HSK_Compliance,Processed,Reasoning_Tokens,Total_Tokens,O4_Error
8162,칼에,kʰal.e,noun,2,with a knife,나는 칼에 손을 베었다.,na.nɯn kʰal.e son.ɯl pe.ʌt̚.ta,I cut my hand with a knife.,Marks the instrument used in actions like cutting or stabbing,8162,77,True,Clear and accurate definition,False,True,1856,2574,
8163,이메일을,i.me.il.ɯl,noun,4,email,저는 친구에게 이메일을 보냈어요.,tɕʌ.nɯn tɕʰin.ku.e.ke i.me.il.ɯl po.nɛt̚.ʌ.jo,I sent an email to my friend.,Used with object marker 을 to mark email as the direct object; common in both spoken and written contexts.,8163,77,True,The entry is accurate and clear.,False,True,768,1499,
8164,준다,tɕun.ta,verb,1,give,엄마가 사과를 준다.,ʌm.ma.ka sa.kwa.ɾɯl tɕun.ta,Mother gives an apple.,Present declarative plain form of 주다 used for statements or narratives,8164,77,True,Accurate and clear,False,True,1024,1743,
8165,아셨어요,a.sjʌt̚.ʌ.jo,verb,2,know,그 소식을 아셨어요?,kɯ so.sik̚.ɯl a.sjʌt̚.ʌ.jo,Did you know the news?,"Honorific past polite form of the verb 'to know', used to ask respectfully if someone knew something",8165,77,True,Clear and accurate analysis,False,True,1856,2598,
8166,소령님,so.ɾjʌŋ.nim,noun,6,major,소령님께 보고를 드렸습니다.,so.ɾjʌŋ.nim.k͈e po.ko.ɾɯl tɯ.ɾjʌt̚.sɯp̚.ni.ta,I reported to the major.,Honorific address for a military major.,8166,77,True,Accurate and concise.,False,True,960,1682,
8167,빠지고,p͈a.tɕi.ko,verb,1,to fall,머리카락이 많이 빠지고 있어요.,mʌ.ɾi.kʰa.ɾak̚.i man.i p͈a.tɕi.ko it̚.ʌ.jo,My hair is falling out a lot.,"Connective form (verb stem + 고) of 빠지다, often used with 있다 to indicate ongoing action.",8167,77,True,Clear and accurate definition and usage.,False,True,1984,2727,
8168,클램프,kʰɯl.ɾɛm.pʰɯ,noun,6,clamp,전선을 고정하기 위해 클램프를 사용했다.,tɕʌn.sʌn.ɯl ko.tɕʌŋ.ha.ki wi.hɛ kʰɯl.ɾɛm.pʰɯ.ɾɯl sa.joŋ.hɛt̚.ta,I used a clamp to secure the wires.,"Refers to a mechanical tool for holding objects tightly together, used in technical or construction contexts.",8168,77,True,Accurate common usage with clear example,False,True,1152,1905,
8169,총도,tɕʰoŋ.to,noun,6,unknown,이 단어 '총도'는 사전에 잘 나타나지 않습니다.,i tan.ʌ tɕʰoŋ.to nɯn sa.tɕʌn.e tɕal na.tʰa.na.tɕi an.sɯp̚.ni.ta,The word '총도' does not commonly appear in dictionaries.,Rare term; possibly a proper noun with limited usage,8169,77,False,Low confidence due to rarity of the term,False,True,1856,2592,
8170,있을거,it̚.ɯl.kʌ,verb,1,will be,내일 회의가 있을 거예요.,nɛ.il hwe.ɰi.ka it̚.ɯl kʌ.je.jo,There will be a meeting tomorrow.,"Future form of itda with -(eu)l geo to express expectation; polite ending uses -geoyeyo, casual uses -geoya",8170,77,True,Clear and accurate explanation,False,True,1472,2215,
8171,마스크를,ma.sɯ.kʰɯ.ɾɯl,noun,1,mask,밖에 나갈 때 마스크를 꼭 써야 해요.,pak̚.e na.kal t͈ɛ ma.sɯ.kʰɯ.ɾɯl k͈ok̚ s͈ʌ.ja hɛ.jo,You must wear a mask when going outside.,Use with verbs like 쓰다 to indicate wearing a mask; common in everyday speech and official guidelines,8171,77,True,Accurate IPA and definition; TOPIK level adjusted appropriately,False,True,1024,1783,
8172,뻔했어,p͈ʌn.hɛt̚.ʌ,adjective,4,almost,넘어질 뻔했어.,nʌm.ʌ.tɕil p͈ʌn.hɛt̚.ʌ,I almost fell.,"Used as an auxiliary after verb stem + -ㄹ/을 to express 'almost did something', informal past tense",8172,77,True,Clear auxiliary usage common in casual speech,False,True,1984,2732,
8173,군인들이,kun.in.tɯl.i,noun,6,soldiers,군인들이 행진하고 있다.,kun.in.tɯl.i hɛŋ.tɕin.ha.ko it̚.ta,The soldiers are marching.,"Plural form of the noun 'soldier' with the subject particle, used when describing actions performed by soldiers.",8173,77,True,"Accurate IPA, definition, and example sentence.",False,True,1728,2462,
8174,됬어,twet̚.ʌ,verb,2,enough,"밥은 됐어, 더 이상 안 먹을게.",pap̚.ɯn twɛt̚.ʌ tʌ i.saŋ an mʌk̚.ɯl.ke,"I've had enough rice, I won't eat any more.","Informal spoken interjection meaning 'enough' or 'no need', used to refuse or stop something.",8174,77,True,Good quality analysis with accurate pronunciation and usage context.,False,True,1408,2151,
8175,보안관님,po.an.kwan.nim,noun,6,sheriff,영화에서 보안관님이 범인을 체포하셨어요.,jʌŋ.hwa.e.sʌ po.an.kwan.nim.i pʌm.in.ɯl tɕʰe.pʰo.ha.sjʌt̚.ʌ.jo,"In the movie, the sheriff arrested the criminal.","Honorific form of sheriff used to address or refer respectfully, common in formal speech and media contexts.",8175,77,True,Accurate entry with clear definition and example.,False,True,2240,2988,
8176,학교로,hak̚.kjo.ɾo,particle,1,to,저는 학교로 갑니다.,tɕʌ.nɯn hak̚.kjo.ɾo kap̚.ni.ta,I go to school.,"Directional particle indicating movement toward a destination, attached to noun ending in a vowel, used in both formal and casual speech",8176,77,True,Clear and accurate analysis with appropriate usage context,False,True,1152,1886,
8177,원하시면,wʌn.ha.si.mjʌn,verb,2,want,원하시면 언제든 도와드리겠습니다.,wʌn.ha.si.mjʌn ʌn.tɕe.tɯn to.wa.tɯ.ɾi.ket̚.sɯp̚.ni.ta,"If you want, I will help you anytime.","Polite conditional form of the verb 원하다, used to offer or suggest something in honorific speech",8177,77,True,Accurate and natural usage in polite contexts,False,True,640,1391,
8178,릴리는,ɾil.ɾi.nɯn,noun,6,Lily,릴리는 꽃을 좋아해요.,ɾil.ɾi.nɯn k͈ot̚.ɯl tɕot̚.a.hɛ.jo,Lily likes flowers.,Topic marker 는 used after proper noun in polite speech,8178,77,True,Clear and accurate,False,True,1600,2322,
8179,생각해보면,sɛŋ.kak̚.hɛ.po.mjʌn,verb,3,if you think,생각해보면 그때 우리 정말 행복했어.,sɛŋ.kak̚.hɛ.po.mjʌn kɯ.t͈ɛ u.ɾi tɕʌŋ.mal hɛŋ.pok̚.hɛt̚.ʌ,"If you think about it, we were really happy back then.","Used as an adverbial clause meaning 'if you think about it', common in casual and neutral speech.",8179,77,True,Accurate and concise,False,True,1280,2040,
8180,이식을,i.sik̚.ɯl,noun,6,transplantation,환자는 간 이식을 받았다.,hwan.tɕa.nɯn kan i.sik̚.ɯl pat̚.at̚.ta,The patient received a liver transplant.,Used in medical contexts for organ transplantation; commonly paired with verbs meaning 'perform' or 'receive'.,8180,77,True,Clear and accurate; appropriate example and definition.,False,True,1856,2594,
8181,기지,ki.tɕi,noun,4,base,그 군사 기지는 산속에 위치해 있다.,kɯ kun.sa ki.tɕi.nɯn san.sok̚.e wi.tɕʰi.hɛ it̚.ta,That military base is located in the mountains.,"Used primarily in compounds like 'military base' (군사 기지), common in formal and written contexts.",8181,77,True,Accurate and clear entry with appropriate definition and context.,False,True,1472,2208,
8182,드멜자,tɯ.mel.tɕa,noun,6,unknown,이 문장에는 드멜자가 포함되어 있습니다.,i mun.tɕaŋ.e.nɯn tɯ.mel.tɕa.ka pʰo.ham.twe.ʌ it̚.sɯp̚.ni.ta,This sentence includes 드멜자.,"Non-standard or unknown word, no established usage.",8182,77,False,"Low confidence, the word appears to be non-existent or incorrect.",False,True,1152,1888,
8183,다수의,ta.su.ɰi,adjective,6,many,다수의 학생들이 시험에 합격했다.,ta.su.ɰi hak̚.sɛŋ.tɯl.i si.hʌm.e hap̚.kjʌk̚.hɛt̚.ta,Many students passed the exam.,Formal written Korean; used before nouns to indicate 'many'.,8183,77,True,Clear and accurate.,False,True,1472,2191,
8184,토레스가,tʰo.ɾe.sɯ.ka,noun,6,Torres,토레스가 골을 넣었다.,tʰo.ɾe.sɯ.ka kol.ɯl nʌt̚.ʌt̚.ta,Torres scored a goal.,Proper noun Torres with subject particle 가 in declarative sentences.,8184,77,True,Clear proper noun usage with correct particle attachment.,False,True,1152,1887,
8185,반을,pan.ɯl,noun,1,half,사과 반을 먹었어요.,sa.kwa pan.ɯl mʌk̚.ʌt̚.ʌ.jo,I ate half of an apple.,Used with the object particle 을 to indicate 'half' as the direct object.,8185,77,True,Accurate and concise entry.,False,True,1024,1742,
8186,됐군요,twɛt̚.kun.jo,verb,4,it is fine,"네, 됐군요.",ne twɛt̚.kun.jo,"Yes, it is fine.",Polite exclamatory form to express approval or acknowledgment when something is done or sufficient,8186,77,True,Accurate usage and clear definition,False,True,2240,2975,
8187,일이니까,il.i.ni.k͈a,particle,2,because,이게 일이니까 좀 책임감을 가져야 해.,i.ke il.i.ni.k͈a tɕom tɕʰɛk̚.im.kam.ɯl ka.tɕjʌ.ja hɛ,"Since this is work, you should have some sense of responsibility.",Connective ending attached to nouns via copula '이다' to express reason 'because'; common in spoken and written neutral contexts.,8187,77,True,Accurate and concise linguistic analysis,False,True,1728,2475,
8188,지랄,tɕi.ɾal,noun,6,nonsense,그만 지랄 좀 해.,kɯ.man tɕi.ɾal tɕom hɛ,Stop the bullshit.,Informal profanity used in casual speech to express frustration or dismiss nonsense,8188,77,True,Accurate slang analysis with appropriate example,False,True,1152,1876,
8189,진지한,tɕin.tɕi.han,adjective,6,serious,그는 항상 진지한 표정으로 수업에 참여한다.,kɯ.nɯn haŋ.saŋ tɕin.tɕi.han pʰjo.tɕʌŋ.ɯ.ɾo su.ʌp̚.e tɕʰam.jʌ.han.ta,He always participates in class with a serious expression.,"Used to describe seriousness in mood or demeanor, commonly modifying nouns like expression or attitude",8189,77,True,Accurate and concise entry appropriate for TOPIK level,False,True,1024,1772,
8190,보셨나요,po.sjʌt̚.na.jo,verb,2,have you seen,이 영화를 보셨나요?,i jʌŋ.hwa.ɾɯl po.sjʌt̚.na.jo,Have you seen this movie?,Honorific question form of 보다 used to politely ask if someone has seen something,8190,77,True,Clear and accurate representation of meaning and usage,False,True,1152,1890,
8191,받아들여,pat̚.a.tɯl.jʌ,verb,4,accept,이 기회를 받아들여.,i ki.hwe.ɾɯl pat̚.a.tɯl.jʌ,Accept this opportunity.,"Imperative form of 받아들이다, used to tell someone to accept something",8191,77,True,Accurate and appropriate analysis,False,True,1728,2456,
8192,따라오세요,t͈a.ɾa.o.se.jo,verb,1,follow me,저를 따라오세요.,tɕʌ.ɾɯl t͈a.ɾa.o.se.jo,Please follow me.,"Polite imperative form, formal speech used to invite someone to follow the speaker",8192,77,True,Accurate and clear,False,True,896,1625,
8193,감염,kam.jʌm,noun,6,infection,감염을 예방하려면 손을 자주 씻어야 한다.,kam.jʌm.ɯl je.paŋ.ha.ɾjʌ.mjʌn son.ɯl tɕa.tɕu s͈it̚.ʌ.ja han.ta,"To prevent infection, you should wash your hands frequently.",Used in medical or technical contexts to refer to disease infection,8193,77,True,Clear and accurate,False,True,768,1492,
8194,납치,nap̚.tɕʰi,noun,6,kidnapping,그 아이가 납치되었다.,kɯ a.i.ka nap̚.tɕʰi.twe.ʌt̚.ta,The child was kidnapped.,"Sino-Korean noun meaning kidnapping/abduction, used with verbs like ""to kidnap"" for active voice and ""to be kidnapped"" for passive, common in formal/legal contexts",8194,77,True,Accurate and clear,False,True,1408,2158,
8195,인정,in.tɕʌŋ,noun,6,recognition,그녀는 뛰어난 실력으로 모두의 인정을 받았다.,kɯ.njʌ.nɯn t͈wi.ʌ.nan sil.ɾjʌk̚.ɯ.ɾo mo.tu.ɰi in.tɕʌŋ.ɯl pat̚.at̚.ta,She received everyone's recognition for her outstanding skills.,"Used to mean 'recognition' or 'acknowledgment' of achievements or abilities, often in passive constructions like '인정을 받다' in both formal and informal contexts",8195,77,True,Clear and accurate entry with appropriate example and usage note,False,True,1024,1780,
8196,마티,ma.tʰi,noun,6,name,마티는 제 친구예요.,ma.tʰi.nɯn tɕe tɕʰin.ku.je.jo,Marty is my friend.,"Used as a transliteration of the English given name 'Marty', appearing primarily in proper noun contexts.",8196,77,False,"Rare transliteration, low frequency outside of personal names.",False,True,1472,2199,
8197,가거라,ka.kʌ.ɾa,verb,6,go,이제 가거라.,i.tɕe ka.kʌ.ɾa,"Now, go.",Archaic imperative form of 가다 used in literary or formal contexts,8197,77,True,Accurate description of archaic imperative usage,False,True,704,1427,
8198,물어봤어,mul.ʌ.pwat̚.ʌ,verb,2,ask,어제 친구에게 물어봤어.,ʌ.tɕe tɕʰin.ku.e.ke mul.ʌ.pwat̚.ʌ,I asked my friend yesterday.,Informal past tense used to express 'ask' in casual conversation,8198,77,True,Accurate colloquial past form,False,True,1344,2077,
8199,각각의,kak̚.kak̚.ɰi,adjective,4,each,학생들은 각각의 의견을 발표했다.,hak̚.sɛŋ.tɯl.ɯn kak̚.kak̚.ɰi ɰi.kjʌn.ɯl pal.pʰjo.hɛt̚.ta,The students each presented their opinions.,Used as a determiner before nouns to indicate 'each'; formal and neutral contexts.,8199,77,True,Accurate and concise analysis,False,True,1536,2270,
8200,빠지게,p͈a.tɕi.ke,adverb,4,extremely,오늘 날씨가 빠지게 춥다.,o.nɯl nal.s͈i.ka p͈a.tɕi.ke tɕʰup̚.ta,The weather is extremely cold today.,Colloquial adverbial intensifier used before adjectives or verbs in informal speech.,8200,77,True,Accurate and concise usage explanation,False,True,1152,1890,
8201,음악은,ɯm.ak̚.ɯn,noun,6,music,음악은 기분을 좋게 만든다.,ɯm.ak̚.ɯn ki.pun.ɯl tɕot̚.ke man.tɯn.ta,Music makes you feel good.,Topic marker '은' attached to the noun 음악 to introduce 'music' as the topic; common in both spoken and written Korean; used after nouns ending in a consonant.,8201,77,True,"Accurate IPA, clear definition and example; appropriate usage context provided.",False,True,1472,2231,
8202,보여줘요,po.jʌ.tɕwʌ.jo,verb,1,show,이거 좀 보여줘요.,i.kʌ tɕom po.jʌ.tɕwʌ.jo,Please show me this.,Polite present tense form of 보여주다 used to request showing something,8202,77,True,Accurate transcription and definition,False,True,1408,2136,
8203,나가세요,na.ka.se.jo,verb,1,go out,방에서 나가세요.,paŋ.e.sʌ na.ka.se.jo,Please leave the room.,Polite imperative form used to ask someone to go out or leave,8203,77,True,Clear and accurate polite command usage,False,True,640,1360,
8204,소문을,so.mun.ɯl,noun,6,rumor,사람들은 소문을 믿지 않았다.,sa.ɾam.tɯl.ɯn so.mun.ɯl mit̚.tɕi an.at̚.ta,People did not believe the rumor.,Used as the accusative form of the noun '소문' (rumor) with the particle 을 to mark the direct object.,8204,77,True,Accurate and concise definition with appropriate example.,False,True,1216,1957,
8205,잘가요,tɕal.ka.jo,verb,1,goodbye,친구에게 잘가요라고 인사했어요.,tɕʰin.ku.e.ke tɕal.ka.jo.ɾa.ko in.sa.hɛt̚.ʌ.jo,I said 'goodbye' to my friend.,Polite present tense parting phrase used when saying goodbye in everyday conversations.,8205,77,True,Clear definition and usage context.,False,True,1280,2013,
8206,뽑아,p͈op̚.a,verb,2,choose,이 중에서 하나를 뽑아.,i tɕuŋ.e.sʌ ha.na.ɾɯl p͈op̚.a,Pick one of these.,"Informal imperative form of the verb bopda (to choose), used in casual speech.",8206,77,True,Good quality entry.,False,True,1600,2326,
8207,선생님과,sʌn.sɛŋ.nim.kwa,particle,1,and,선생님과 학생들은 도서관에서 공부했습니다.,sʌn.sɛŋ.nim.kwa hak̚.sɛŋ.tɯl.ɯn to.sʌ.kwan.e.sʌ koŋ.pu.hɛt̚.sɯp̚.ni.ta,The teacher and the students studied in the library.,"Used after a consonant-final noun to connect nouns (A and B), common in formal or written contexts.",8207,76,True,Clear and accurate analysis with appropriate example.,False,True,2240,2990,
8208,어려워,ʌ.ɾjʌ.wʌ,adjective,1,difficult,이 문제는 어려워.,i mun.tɕe.nɯn ʌ.ɾjʌ.wʌ,This problem is difficult.,"Informal present tense of 어렵다, used in casual speech.",8208,76,True,Clear and accurate.,False,True,960,1683,
8209,예상치,je.saŋ.tɕʰi,noun,6,expected value,실제 결과가 예상치를 웃돌았다.,sil.tɕe kjʌl.kwa.ka je.saŋ.tɕʰi.ɾɯl ut̚.tol.at̚.ta,The actual result exceeded the expected value.,Used in statistical and predictive contexts to refer to expected value; formal register; often with verbs like exceed or compare.,8209,76,True,Accurate and precise entry.,False,True,896,1633,
8210,했군,hɛt̚.kun,verb,4,I see,벌써 했군!,pʌl.s͈ʌ hɛt̚.kun,"Oh, you've already done it!",Exclamatory past tense ending expressing surprise or realization,8210,76,False,Clear and accurate analysis,False,True,1344,2060,
8211,잊지마,it̚.tɕi.ma,verb,1,don't forget,제발 잊지마.,tɕe.pal it̚.tɕi.ma,Please don't forget.,"Informal negative imperative of the verb 잊다, used among friends or younger people.",8211,76,True,Accurate and clear,False,True,576,1302,
8212,한이,han.i,noun,6,resentment,그는 부모님을 잃은 한이 평생 마음속에 남았다.,kɯ.nɯn pu.mo.nim.ɯl il.ɯn han.i pʰjʌŋ.sɛŋ ma.ɯm.sok̚.e nam.at̚.ta,The resentment of losing his parents stayed in his heart for his whole life.,"Used in formal or literary contexts, often in fixed expressions to denote deep, lingering resentment.",8212,76,True,"Clear, accurate, and appropriate for advanced learners.",False,True,1728,2466,
8213,장소에서,tɕaŋ.so.e.sʌ,noun,6,at a place,이 장소에서 기다리세요.,i tɕaŋ.so.e.sʌ ki.ta.ɾi.se.jo,Please wait at this place.,"Use 장소 + 에서 to indicate where an action occurs, often in instructions",8213,76,True,Accurate entry with appropriate example,False,True,1408,2137,
8214,때보다,t͈ɛ.po.ta,adverb,3,than before,어제 때보다 오늘이 더 덥다.,ʌ.tɕe t͈ɛ.po.ta o.nɯl.i tʌ tʌp̚.ta,It's hotter today than yesterday.,Used to compare a present condition to a previous time in both spoken and written Korean.,8214,76,True,Accurate and clear explanation of common comparative usage.,False,True,1152,1885,
8215,나름,na.ɾɯm,noun,6,dependence,행복은 사람 나름이다.,hɛŋ.pok̚.ɯn sa.ɾam na.ɾɯm.i.ta,Happiness depends on the individual.,Used with the particle 'e' plus 'nareum-ida' to express that something depends on something; common in neutral contexts.,8215,76,True,Clear and accurate,False,True,1472,2205,
8216,괜찮으니까,kwɛn.tɕʰan.ɯ.ni.k͈a,verb,2,because it's okay,늦어도 괜찮으니까 걱정하지 마.,nɯt̚.ʌ.to kwɛn.tɕʰan.ɯ.ni.k͈a kʌk̚.tɕʌŋ.ha.tɕi ma,"It's okay if you're late, so don't worry.","Connective ending '-으니까' indicating cause, used in casual and polite contexts to explain a reason.",8216,76,True,Accurate and concise analysis with correct IPA and usage details.,False,True,1344,2115,
8217,그러시죠,kɯ.ɾʌ.si.tɕjo,verb,3,please do so,"네, 그러시죠.",ne kɯ.ɾʌ.si.tɕjo,"Yes, let's do that.",Honorific suggestion ending used politely to propose or agree to an action in formal speech,8217,76,True,Accurate representation of an honorific suggestion phrase,False,True,1152,1897,
8218,가세,ka.se,noun,6,family wealth,그는 가세가 좋은 집에서 자랐다.,kɯ.nɯn ka.se.ka tɕot̚.ɯn tɕip̚.e.sʌ tɕa.ɾat̚.ta,He grew up in a wealthy family.,"Refers to a family's financial status, often used in formal or written contexts",8218,76,True,Clear and accurate for advanced learners,False,True,1344,2063,
8219,폭력을,pʰok̚.ɾjʌk̚.ɯl,noun,6,violence,학교에서는 폭력을 허용하지 않는다.,hak̚.kjo.e.sʌ.nɯn pʰok̚.ɾjʌk̚.ɯl hʌ.joŋ.ha.tɕi an.nɯn.ta,The school does not tolerate violence.,Sino-Korean noun that takes object marking -eul; commonly used with verbs like haengsahada (to exercise) and gahada (to inflict) in formal or journalistic contexts,8219,76,True,"Accurate entry with correct IPA, definition, and example",False,True,2048,2828,
8220,해롤드,hɛ.ɾol.tɯ,noun,6,Harold,해롤드는 미국에서 온 친구입니다.,hɛ.ɾol.tɯ.nɯn mi.kuk̚.e.sʌ on tɕʰin.ku.ip̚.ni.ta,Harold is a friend from the United States.,Used as a transliteration of the English male given name in both formal and informal contexts.,8220,76,True,Accurate transliteration and usage as a personal name.,False,True,1216,1956,
8221,쇼가,sjo.ka,noun,6,show,이 쇼가 정말 재미있어요.,i sjo.ka tɕʌŋ.mal tɕɛ.mi.it̚.ʌ.jo,This show is really fun.,"Loanword from English, refers to performances or broadcasts, used with Korean particles",8221,76,False,Definition and example are plausible but original word usage is uncertain,False,True,1664,2388,
8222,편,pʰjʌn,noun,2,side,나는 항상 네 편이야.,na.nɯn haŋ.saŋ ne pʰjʌn.i.ja,I am always on your side.,Used as a noun meaning side; appears in phrases like my side (naepyeon).,8222,76,True,Accurate and follows frequency guidelines.,False,True,1408,2132,
8223,책상,tɕʰɛk̚.saŋ,noun,6,desk,제 방에 책상이 하나 있어요.,tɕe paŋ.e tɕʰɛk̚.saŋ.i ha.na it̚.ʌ.jo,There is a desk in my room.,"Refers to a table used for studying or working, common in both formal and informal contexts.",8223,76,True,"Very common noun for everyday language, clear usage.",False,True,768,1507,
8224,경찰이다,kjʌŋ.tɕʰal.i.ta,verb,2,be police officer,저는 경찰입니다.,tɕʌ.nɯn kjʌŋ.tɕʰal.ip̚.ni.ta,I am a police officer.,Formal declarative copula usage to state occupation,8224,76,True,Accurate and concise analysis,False,True,1216,1944,
8225,꿈에,k͈um.e,particle,1,in a dream,어제 꿈에 네가 나왔어.,ʌ.tɕe k͈um.e ne.ka na.wat̚.ʌ,You appeared in my dream yesterday.,Used after the noun 꿈 to indicate that something happened in a dream; common in casual speech,8225,76,True,Clear and accurate entry,False,True,1536,2259,
8226,부분에,pu.pun.e,noun,6,part,교재의 첫 부분에 예제가 많아요.,kjo.tɕɛ.ɰi tɕʰʌt̚ pu.pun.e je.tɕe.ka man.a.jo,There are many examples in the first part of the textbook.,"Attaches the particle e to the noun meaning part to indicate location or time within a segment, used in both formal and informal contexts.",8226,76,True,Clear and concise analysis with appropriate example and usage context.,False,True,1600,2340,
8227,상태에,saŋ.tʰɛ.e,noun,2,condition,이 기계는 좋은 상태에 있어요.,i ki.kje.nɯn tɕot̚.ɯn saŋ.tʰɛ.e it̚.ʌ.jo,This machine is in good condition.,Used with adjectives plus 있다 to indicate being in a specific state or condition (noun + 에 있다).,8227,76,False,Clear and accurate usage; example sentence is natural.,False,True,1408,2141,
8228,같니,kat̚.ni,adjective,1,same,이 사과가 저 사과와 같니?,i sa.kwa.ka tɕʌ sa.kwa.wa kat̚.ni,Is this apple the same as that apple?,"Casual interrogative form of the adjective 같다, used when asking if two things are the same",8228,76,True,Clear and accurate analysis,False,True,1600,2329,
8229,지났어,tɕi.nat̚.ʌ,verb,1,pass,벌써 점심시간이 지났어.,pʌl.s͈ʌ tɕʌm.sim.si.kan.i tɕi.nat̚.ʌ,Lunchtime has already passed.,Informal past tense of jinada (to pass) used in casual spoken Korean.,8229,76,True,Accurate entry with clear details.,False,True,2112,2847,
8230,내일이면,nɛ.il.i.mjʌn,particle,6,if tomorrow,내일이면 비가 올 거예요.,nɛ.il.i.mjʌn pi.ka ol kʌ.je.jo,"If it's tomorrow, it will rain.","Conditional phrase using the suffix -myeon attached to the noun naeil to mean 'if tomorrow', common in everyday speech.",8230,76,True,Clear and accurate analysis appropriate for advanced learners.,False,True,1664,2409,
8231,열차가,jʌl.tɕʰa.ka,noun,6,train,열차가 곧 도착합니다.,jʌl.tɕʰa.ka kot̚ to.tɕʰak̚.hap̚.ni.ta,The train is arriving soon.,Subject marker '가' follows vowel-ending noun '열차' to indicate it as the subject of a sentence,8231,76,True,Accurate and complete,False,True,1536,2276,
8232,걔네가,kjɛ.ne.ka,pronoun,1,they,걔네가 오늘 못 올 거야.,kjɛ.ne.ka o.nɯl mot̚ ol kʌ.ja,They can't come today.,"Casual pronoun meaning 'they', used in informal spoken Korean among peers",8232,76,True,Accurate and clear,False,True,1472,2194,
8233,모헨조,mo.hen.tɕo,noun,6,Mohenjo,모헨조는 인더스 문명의 고대 도시 이름이다.,mo.hen.tɕo.nɯn in.tʌ.sɯ mun.mjʌŋ.ɰi ko.tɛ to.si i.ɾɯm.i.ta,Mohenjo is the name of an ancient city of the Indus civilization.,"Proper noun used in historical and archaeological contexts, typically in the full name Mohenjo-daro",8233,76,True,Appropriate analysis for a rare proper noun transliteration,False,True,1344,2100,
8234,저한텐,tɕʌ.han.tʰen,pronoun,1,to me,이 책을 저한테 주세요.,i tɕʰɛk̚.ɯl tɕʌ.han.tʰe tɕu.se.jo,Please give me this book.,"Polite dative case of the first person pronoun, used to mark the indirect object 'to me' in polite requests and statements.",8234,76,True,Accurate and clear entry that follows all guidelines.,False,True,1920,2669,
8235,멍청하게,mʌŋ.tɕʰʌŋ.ha.ke,adverb,4,stupidly,그는 멍청하게 행동했다.,kɯ.nɯn mʌŋ.tɕʰʌŋ.ha.ke hɛŋ.toŋ.hɛt̚.ta,He acted stupidly.,Informal adverb describing actions as stupid; common in spoken language; can be insulting,8235,76,True,Accurate definition and usage context provided,False,True,1088,1836,
8236,남자답게,nam.tɕa.tap̚.ke,adverb,5,manly,힘든 상황에서도 남자답게 침착했다.,him.tɯn saŋ.hwaŋ.e.sʌ.to nam.tɕa.tap̚.ke tɕʰim.tɕʰak̚.hɛt̚.ta,He remained calm like a man even in difficult situations.,Used as an adverbial form with the suffix ge to indicate performing actions in a manly way; common in spoken and written contexts.,8236,76,True,"Accurate entry with proper IPA, POS, and usage example.",False,True,1920,2679,
8237,실종된,sil.tɕoŋ.twen,adjective,6,missing,실종된 고양이를 찾고 있어요.,sil.tɕoŋ.twen ko.jaŋ.i.ɾɯl tɕʰat̚.ko it̚.ʌ.jo,I'm looking for the missing cat.,"Attributive form of '실종되다' (to go missing), used before a noun to describe missing people or objects in neutral/formal contexts.",8237,76,True,Clear and accurate analysis.,False,True,1600,2347,
8238,어땠는지,ʌ.t͈ɛt̚.nɯn.tɕi,particle,2,how it was,영화가 어땠는지 모르겠어요.,jʌŋ.hwa.ka ʌ.t͈ɛt̚.nɯn.tɕi mo.ɾɯ.ket̚.ʌ.jo,I don't know how the movie was.,"Used in indirect questions about past states, often with verbs like 모르다, 알다, 궁금하다.",8238,76,True,Accurate and clear grammatical entry.,False,True,1856,2622,
8239,죽는다고,tɕuk̚.nɯn.ta.ko,verb,5,quotative ending,그가 죽는다고 해서 모두가 놀랐다.,kɯ.ka tɕuk̚.nɯn.ta.ko hɛ.sʌ mo.tu.ka nol.ɾat̚.ta,Everyone was surprised because he said he would die.,Quotative clause ending after verb stem to report speech or thought in informal contexts,8239,76,True,Accurate and comprehensive,False,True,1344,2093,
8240,책상에,tɕʰɛk̚.saŋ.e,noun,1,on desk,책상에 책이 있어요.,tɕʰɛk̚.saŋ.e tɕʰɛk̚.i it̚.ʌ.jo,There is a book on the desk.,"Locative particle 에 attached to a noun to indicate location; neutral formality, common in speech and writing",8240,76,True,Clear locative analysis with appropriate example,False,True,1536,2280,
8241,기밀,ki.mil,noun,6,secrecy,이 문서는 기밀로 분류되어 있다.,i mun.sʌ.nɯn ki.mil.ɾo pun.ɾju.twe.ʌ it̚.ta,This document is classified as confidential.,"Formal noun for confidential information, often used in legal or military contexts.",8241,76,True,Accurate and precise.,False,True,1728,2445,
8242,생명의,sɛŋ.mjʌŋ.ɰi,noun,6,life's,우리는 생명의 소중함을 잊어서는 안 된다.,u.ɾi.nɯn sɛŋ.mjʌŋ.ɰi so.tɕuŋ.ham.ɯl it̚.ʌ.sʌ.nɯn an twen.ta,We must not forget the value of life.,"Genitive form of 생명, indicating possession or association, used before a noun (e.g., 'life's importance').",8242,76,True,Accurate and complete.,False,True,1280,2030,
